epochs,degree,training_time,training_error_km_min,training_error_km_mean,test_error_min,test_error_mean
1,1,0.48872828483581543,0.07228915393352509,0.0662650614976883,0.13830000162124634,0.13650000095367432
1,2,0.45356225967407227,0.027108434587717056,0.029116466641426086,0.10909999907016754,0.1046999990940094
1,3,0.4234621524810791,0.02208835259079933,0.02208835259079933,0.09939999878406525,0.09560000151395798
1,4,0.439281702041626,0.01807228848338127,0.02811245061457157,0.09049999713897705,0.09790000319480896
1,5,0.42400169372558594,0.01807228848338127,0.029116466641426086,0.08950000256299973,0.10670000314712524
1,6,0.42502617835998535,0.025100402534008026,0.03514056280255318,0.10890000313520432,0.10830000042915344
2,1,0.8116903305053711,0.04919678717851639,0.04919678717851639,0.13950000703334808,0.12620000541210175
2,2,0.8036537170410156,0.0150602413341403,0.01305220928043127,0.09319999814033508,0.08839999884366989
2,3,0.8417303562164307,0.005020080134272575,0.012048192322254181,0.0843999981880188,0.08169999718666077
2,4,0.8092591762542725,0.0060240961611270905,0.011044176295399666,0.07840000092983246,0.08020000159740448
2,5,0.7971100807189941,0.0030120480805635452,0.0060240961611270905,0.08160000294446945,0.08320000022649765
2,6,0.7970700263977051,0.01004016026854515,0.012048192322254181,0.08470000326633453,0.08649999648332596
3,1,1.2101881504058838,0.04116465896368027,0.04116465896368027,0.13109999895095825,0.12020000070333481
3,2,1.1837973594665527,0.0060240961611270905,0.007028112653642893,0.09049999713897705,0.08309999853372574
3,3,1.1932365894317627,0.0,0.005020080134272575,0.07959999889135361,0.07569999992847443
3,4,1.231313943862915,0.00200803205370903,0.00401606410741806,0.07500000298023224,0.07400000095367432
3,5,1.1739206314086914,0.00200803205370903,0.0030120480805635452,0.0729999989271164,0.07689999788999557
3,6,1.223391056060791,0.00401606410741806,0.007028112653642893,0.0828000009059906,0.08389999717473984
4,1,1.593231439590454,0.0301204826682806,0.03413654491305351,0.1290999948978424,0.11909999698400497
4,2,1.5507261753082275,0.005020080134272575,0.00401606410741806,0.08919999748468399,0.08229999989271164
4,3,1.5947778224945068,0.0,0.00200803205370903,0.07750000059604645,0.07429999858140945
4,4,1.5444118976593018,0.0,0.0,0.07349999994039536,0.07079999893903732
4,5,1.5748143196105957,0.00200803205370903,0.00200803205370903,0.07289999723434448,0.07500000298023224
4,6,1.546250343322754,0.00200803205370903,0.0060240961611270905,0.08129999786615372,0.08320000022649765
5,1,1.973099946975708,0.029116466641426086,0.029116466641426086,0.1266999989748001,0.11869999766349792
5,2,1.9604275226593018,0.00200803205370903,0.00200803205370903,0.09059999883174896,0.0812000036239624
5,3,1.946993112564087,0.0,0.00200803205370903,0.07760000228881836,0.07410000264644623
5,4,1.932269811630249,0.0,0.0,0.06859999895095825,0.07050000131130219
5,5,1.971280813217163,0.0,0.00200803205370903,0.07180000096559525,0.07419999688863754
5,6,1.947753667831421,0.00200803205370903,0.00401606410741806,0.08110000193119049,0.08139999955892563
6,1,2.3459115028381348,0.023092368617653847,0.02811245061457157,0.1274999976158142,0.11640000343322754
6,2,2.3112545013427734,0.0,0.00200803205370903,0.08969999849796295,0.07999999821186066
6,3,2.3587305545806885,0.0,0.001004016026854515,0.07760000228881836,0.07410000264644623
6,4,2.288482666015625,0.0,0.0,0.06790000200271606,0.0697999969124794
6,5,2.3393757343292236,0.0,0.0,0.07180000096559525,0.07400000095367432
6,6,2.3167035579681396,0.001004016026854515,0.0030120480805635452,0.0812000036239624,0.08100000023841858
7,1,2.722900629043579,0.023092368617653847,0.02811245061457157,0.1266999989748001,0.11569999903440475
7,2,2.7291393280029297,0.0,0.001004016026854515,0.0877000018954277,0.07930000126361847
7,3,2.69831919670105,0.0,0.001004016026854515,0.07540000230073929,0.07370000332593918
7,4,2.699298143386841,0.0,0.0,0.06790000200271606,0.0689999982714653
7,5,2.6538281440734863,0.0,0.0,0.07180000096559525,0.0738999992609024
7,6,2.691626787185669,0.001004016026854515,0.00200803205370903,0.08110000193119049,0.08020000159740448
8,1,3.1204257011413574,0.02610441856086254,0.02610441856086254,0.1298000067472458,0.11569999903440475
8,2,3.076422691345215,0.0,0.001004016026854515,0.0877000018954277,0.07819999754428864
8,3,3.0100390911102295,0.0,0.001004016026854515,0.07540000230073929,0.07320000231266022
8,4,3.0410916805267334,0.0,0.0,0.06790000200271606,0.06840000301599503
8,5,3.082376718521118,0.0,0.0,0.07180000096559525,0.07280000299215317
8,6,3.031710147857666,0.001004016026854515,0.00200803205370903,0.08110000193119049,0.08009999990463257
9,1,3.525874376296997,0.01606425642967224,0.025100402534008026,0.12870000302791595,0.11550000309944153
9,2,3.4118950366973877,0.0,0.0,0.08659999817609787,0.07859999686479568
9,3,3.420853853225708,0.0,0.0,0.07540000230073929,0.07329999655485153
9,4,3.381938934326172,0.0,0.0,0.06790000200271606,0.06729999929666519
9,5,3.432716131210327,0.0,0.0,0.07180000096559525,0.0731000006198883
9,6,3.4139344692230225,0.001004016026854515,0.001004016026854515,0.08110000193119049,0.08079999685287476
10,1,3.8755204677581787,0.01807228848338127,0.019076304510235786,0.12890000641345978,0.1152999997138977
10,2,3.8318676948547363,0.0,0.0,0.08389999717473984,0.07909999787807465
10,3,3.7800681591033936,0.0,0.0,0.07540000230073929,0.07289999723434448
10,4,3.8304343223571777,0.0,0.0,0.06790000200271606,0.0674000009894371
10,5,3.7709457874298096,0.0,0.0,0.07180000096559525,0.0731000006198883
10,6,3.8249399662017822,0.001004016026854515,0.001004016026854515,0.08110000193119049,0.08100000023841858
