epochs,degree,training_time,training_error_km_min,training_error_km_mean,test_error_min,test_error_mean
5,2,3.0679702758789062,0.0013377926079556346,0.00468227406963706,0.07159999758005142,0.06790000200271606
5,3,3.1268110275268555,0.0006688963039778173,0.0033444815780967474,0.06129999831318855,0.05900000035762787
5,4,3.073211669921875,0.0006688963039778173,0.0013377926079556346,0.058800000697374344,0.0568000003695488
5,5,3.026001453399658,0.0,0.002006688853725791,0.0658000037074089,0.06469999998807907
5,6,3.113945245742798,0.0013377926079556346,0.004013377707451582,0.06560000032186508,0.06610000133514404
6,1,3.714235544204712,0.03143812716007233,0.03678929805755615,0.13169999420642853,0.11500000208616257
6,2,3.6454389095306396,0.0006688963039778173,0.0013377926079556346,0.06970000267028809,0.06610000133514404
6,3,3.6943461894989014,0.0006688963039778173,0.0006688963039778173,0.06239999830722809,0.05779999867081642
6,4,3.6381278038024902,0.0,0.0013377926079556346,0.05860000103712082,0.05719999969005585
6,5,3.67022442817688,0.0,0.002006688853725791,0.06549999862909317,0.06480000168085098
6,6,3.700728178024292,0.0006688963039778173,0.002675585215911269,0.0658000037074089,0.06520000100135803
7,1,4.399777173995972,0.03010033443570137,0.03411371260881424,0.12790000438690186,0.11420000344514847
7,2,4.259282350540161,0.0006688963039778173,0.0006688963039778173,0.06960000097751617,0.06589999794960022
7,3,4.328511476516724,0.0,0.0,0.06210000067949295,0.05739999935030937
7,4,4.301569223403931,0.0,0.0013377926079556346,0.05860000103712082,0.05620000138878822
7,5,4.2159998416900635,0.0,0.0013377926079556346,0.06549999862909317,0.06520000100135803
7,6,4.254414081573486,0.0,0.002006688853725791,0.06480000168085098,0.0649000033736229
8,1,4.995556592941284,0.028093645349144936,0.03076923079788685,0.12309999763965607,0.11649999767541885
8,2,4.849917650222778,0.0,0.0006688963039778173,0.07079999893903732,0.06610000133514404
8,3,4.86710786819458,0.0,0.0,0.06159999966621399,0.057999998331069946
8,4,4.888286352157593,0.0,0.0006688963039778173,0.05860000103712082,0.055799998342990875
8,5,4.876102447509766,0.0,0.0006688963039778173,0.06549999862909317,0.06520000100135803
8,6,4.912143230438232,0.0,0.0013377926079556346,0.06480000168085098,0.06480000168085098
9,1,5.608372926712036,0.028762541711330414,0.03076923079788685,0.12240000069141388,0.1151999980211258
9,2,5.435899972915649,0.0,0.0006688963039778173,0.06809999793767929,0.06650000065565109
9,3,5.4978086948394775,0.0,0.0,0.06159999966621399,0.05790000036358833
9,4,5.461699962615967,0.0,0.0006688963039778173,0.05860000103712082,0.05609999969601631
9,5,5.772883892059326,0.0,0.0006688963039778173,0.06549999862909317,0.06509999930858612
9,6,5.609103441238403,0.0,0.0013377926079556346,0.06480000168085098,0.06440000236034393
10,1,6.406044960021973,0.024080267176032066,0.03010033443570137,0.12349999696016312,0.11509999632835388
10,2,6.127883434295654,0.0,0.0006688963039778173,0.06809999793767929,0.06629999727010727
10,3,6.243633031845093,0.0,0.0,0.06159999966621399,0.057500001043081284
10,4,6.119611978530884,0.0,0.0,0.05860000103712082,0.05609999969601631
10,5,6.176257371902466,0.0,0.0006688963039778173,0.06549999862909317,0.06520000100135803
10,6,8.053265571594238,0.0,0.0013377926079556346,0.06480000168085098,0.0640999972820282
